team_a,team_b,played,a_wins,draws,b_wins,a_goals,b_goals,last_meeting,last_score,last_tournament
England,Germany,2,0,2,0,4,4,2022-09-26,England 3-3 Germany,UEFA Nations League
England,Iran,1,1,0,0,6,2,2022-11-21,England 6-2 Iran,FIFA World Cup
England,Japan,1,0,0,1,0,1,2026-03-31,England 0-1 Japan,Friendly
England,Netherlands,1,1,0,0,2,1,2024-07-10,Netherlands 1-2 England,UEFA Euro
England,New Zealand,1,1,0,0,1,0,2026-06-06,England 1-0 New Zealand,Friendly
England,Scotland,1,1,0,0,3,1,2023-09-12,Scotland 1-3 England,Friendly
England,Senegal,2,1,0,1,4,3,2025-06-10,England 1-3 Senegal,Friendly
England,Spain,1,0,0,1,1,2,2024-07-14,Spain 2-1 England,UEFA Euro
England,Switzerland,1,0,1,0,1,1,2024-07-06,England 1-1 Switzerland,UEFA Euro
England,United States,1,0,1,0,0,0,2022-11-25,England 0-0 United States,FIFA World Cup
England,Uruguay,1,0,1,0,1,1,2026-03-27,England 1-1 Uruguay,Friendly
France,Germany,3,1,0,2,3,4,2025-06-08,Germany 0-2 France,UEFA Nations League
France,Ivory Coast,1,0,0,1,1,2,2026-06-04,France 1-2 Ivory Coast,Friendly
France,Morocco,1,1,0,0,2,0,2022-12-14,France 2-0 Morocco,FIFA World Cup
France,Netherlands,3,2,1,0,6,1,2024-06-21,Netherlands 0-0 France,UEFA Euro
France,Portugal,1,0,1,0,0,0,2024-07-05,Portugal 0-0 France,UEFA Euro
France,Scotland,1,1,0,0,4,1,2023-10-17,France 4-1 Scotland,Friendly
France,Spain,2,0,0,2,5,7,2025-06-05,Spain 5-4 France,UEFA Nations League
France,Tunisia,1,0,0,1,0,1,2022-11-30,Tunisia 1-0 France,FIFA World Cup
Germany,Ghana,1,1,0,0,2,1,2026-03-30,Germany 2-1 Ghana,Friendly
Germany,Japan,2,0,0,2,2,6,2023-09-09,Germany 1-4 Japan,Friendly
Germany,Mexico,1,0,1,0,2,2,2023-10-17,Mexico 2-2 Germany,Friendly
Germany,Netherlands,3,2,1,0,5,3,2024-10-14,Germany 1-0 Netherlands,UEFA Nations League
Germany,Portugal,1,0,0,1,1,2,2025-06-04,Germany 1-2 Portugal,UEFA Nations League
Germany,Scotland,1,1,0,0,5,1,2024-06-14,Germany 5-1 Scotland,UEFA Euro
Germany,Spain,2,0,1,1,2,3,2024-07-05,Germany 1-2 Spain,UEFA Euro
Germany,Switzerland,2,1,1,0,5,4,2026-03-27,Switzerland 3-4 Germany,Friendly
Germany,Turkey,1,0,0,1,2,3,2023-11-18,Germany 2-3 Turkey,Friendly
Germany,United States,2,2,0,0,5,2,2026-06-06,United States 1-2 Germany,Friendly
Ghana,Japan,2,0,0,2,1,6,2025-11-14,Japan 2-0 Ghana,Kirin Cup
Ghana,Mexico,2,0,0,2,0,4,2026-05-22,Mexico 2-0 Ghana,Friendly
Ghana,Portugal,1,0,0,1,2,3,2022-11-24,Portugal 3-2 Ghana,FIFA World Cup
Ghana,South Korea,2,1,0,1,3,3,2025-11-18,South Korea 1-0 Ghana,Friendly
Ghana,Switzerland,1,1,0,0,2,0,2022-11-17,Switzerland 0-2 Ghana,Friendly
Ghana,United States,1,0,0,1,0,4,2023-10-17,United States 4-0 Ghana,Friendly
Ghana,Uruguay,1,0,0,1,0,2,2022-12-02,Ghana 0-2 Uruguay,FIFA World Cup
Haiti,Mexico,1,0,0,1,1,3,2023-06-29,Haiti 1-3 Mexico,Gold Cup
Haiti,New Zealand,1,1,0,0,4,0,2026-06-02,Haiti 4-0 New Zealand,Friendly
Haiti,Qatar,1,1,0,0,2,1,2023-06-25,Haiti 2-1 Qatar,Gold Cup
Haiti,Saudi Arabia,1,0,0,1,0,1,2025-06-15,Haiti 0-1 Saudi Arabia,Gold Cup
Haiti,Tunisia,1,0,0,1,0,1,2026-03-28,Haiti 0-1 Tunisia,Friendly
Haiti,United States,1,0,0,1,1,2,2025-06-22,United States 2-1 Haiti,Gold Cup
Iran,Japan,1,1,0,0,2,1,2024-02-03,Iran 2-1 Japan,AFC Asian Cup
Iran,Qatar,3,1,0,2,6,5,2025-06-05,Qatar 1-0 Iran,FIFA World Cup qualification
Iran,Senegal,1,0,1,0,1,1,2022-09-27,Iran 1-1 Senegal,Friendly
Iran,Tunisia,1,0,0,1,0,2,2022-11-16,Iran 0-2 Tunisia,Friendly
Iran,United States,1,0,0,1,0,1,2022-11-29,Iran 0-1 United States,FIFA World Cup
Iran,Uruguay,1,1,0,0,1,0,2022-09-23,Iran 1-0 Uruguay,Friendly
Iran,Uzbekistan,6,1,5,0,5,4,2025-11-18,Iran 0-0 Uzbekistan,Al Ain International Cup
Iraq,Japan,1,1,0,0,2,1,2024-01-19,Iraq 2-1 Japan,AFC Asian Cup
Iraq,Jordan,4,1,1,2,3,4,2025-12-12,Jordan 1-0 Iraq,Arab Cup
Iraq,Mexico,1,0,0,1,0,4,2022-11-09,Mexico 4-0 Iraq,Friendly
Iraq,Qatar,2,1,1,0,2,1,2023-10-13,Iraq 0-0 Qatar,Friendly
Iraq,Saudi Arabia,3,1,1,1,3,3,2025-10-14,Saudi Arabia 0-0 Iraq,FIFA World Cup qualification
Iraq,South Korea,3,0,0,3,2,6,2025-06-05,Iraq 0-2 South Korea,FIFA World Cup qualification
Iraq,Spain,1,0,1,0,1,1,2026-06-04,Spain 1-1 Iraq,Friendly
Ivory Coast,Morocco,1,0,1,0,1,1,2023-10-14,Ivory Coast 1-1 Morocco,Friendly
Ivory Coast,New Zealand,1,0,0,1,0,1,2025-06-07,Ivory Coast 0-1 New Zealand,Canadian Shield
Ivory Coast,Saudi Arabia,1,0,0,1,0,1,2025-11-14,Saudi Arabia 1-0 Ivory Coast,Friendly
Ivory Coast,Scotland,1,1,0,0,1,0,2026-03-31,Ivory Coast 1-0 Scotland,Friendly
Ivory Coast,Senegal,1,0,1,0,1,1,2024-01-29,Ivory Coast 1-1 Senegal,African Cup of Nations
Ivory Coast,South Africa,1,0,1,0,1,1,2023-10-17,Ivory Coast 1-1 South Africa,Friendly
Ivory Coast,South Korea,1,1,0,0,4,0,2026-03-28,Ivory Coast 4-0 South Korea,Friendly
Ivory Coast,Uruguay,1,1,0,0,2,1,2024-03-26,Ivory Coast 2-1 Uruguay,Friendly
Japan,Jordan,1,1,0,0,6,1,2024-01-09,Japan 6-1 Jordan,Friendly
Japan,Mexico,1,0,1,0,0,0,2025-09-06,Mexico 0-0 Japan,Friendly
Japan,Paraguay,1,0,1,0,2,2,2025-10-10,Japan 2-2 Paraguay,Kirin Cup
Japan,Saudi Arabia,2,1,1,0,2,0,2025-03-25,Japan 0-0 Saudi Arabia,FIFA World Cup qualification
Japan,Scotland,1,1,0,0,1,0,2026-03-28,Scotland 0-1 Japan,Friendly
Japan,South Korea,1,1,0,0,3,0,2022-07-27,Japan 3-0 South Korea,EAFF Championship
Japan,Spain,1,1,0,0,2,1,2022-12-01,Japan 2-1 Spain,FIFA World Cup
Japan,Tunisia,1,0,0,1,0,3,2022-06-14,Japan 0-3 Tunisia,Kirin Cup
Japan,Turkey,1,1,0,0,4,2,2023-09-12,Japan 4-2 Turkey,Friendly
Japan,United States,2,1,0,1,2,2,2025-09-09,United States 2-0 Japan,Friendly
Japan,Uruguay,1,0,1,0,1,1,2023-03-24,Japan 1-1 Uruguay,Friendly
Jordan,Morocco,1,0,0,1,2,3,2025-12-18,Jordan 2-3 Morocco,Arab Cup
Jordan,Norway,1,0,0,1,0,6,2023-09-07,Norway 6-0 Jordan,Friendly
Jordan,Qatar,2,1,0,1,3,4,2024-02-10,Qatar 3-1 Jordan,AFC Asian Cup
Jordan,Saudi Arabia,4,2,0,2,3,5,2025-12-15,Saudi Arabia 0-1 Jordan,Arab Cup
Jordan,South Korea,4,1,2,1,5,5,2025-03-25,South Korea 1-1 Jordan,FIFA World Cup qualification
Jordan,Spain,1,0,0,1,1,3,2022-11-17,Jordan 1-3 Spain,Friendly
Jordan,Switzerland,1,0,0,1,1,4,2026-05-31,Switzerland 4-1 Jordan,Friendly
Jordan,Tunisia,1,0,0,1,2,3,2025-11-14,Tunisia 3-2 Jordan,Friendly
Jordan,Uzbekistan,1,0,1,0,0,0,2025-01-22,Uzbekistan 0-0 Jordan,Friendly
Mexico,New Zealand,1,1,0,0,3,0,2024-09-07,Mexico 3-0 New Zealand,Friendly
Mexico,Panama,5,5,0,0,8,1,2026-01-22,Panama 0-1 Mexico,Friendly
Mexico,Paraguay,2,0,0,2,1,3,2025-11-18,Mexico 1-2 Paraguay,Friendly
Mexico,Portugal,1,0,1,0,0,0,2026-03-28,Mexico 0-0 Portugal,Friendly
Mexico,Qatar,1,0,0,1,0,1,2023-07-02,Mexico 0-1 Qatar,Gold Cup
Mexico,Saudi Arabia,2,2,0,0,4,1,2025-06-28,Mexico 2-0 Saudi Arabia,Gold Cup
Mexico,South Korea,1,0,1,0,2,2,2025-09-09,Mexico 2-2 South Korea,Friendly
Mexico,Sweden,1,0,0,1,1,2,2022-11-16,Mexico 1-2 Sweden,Friendly
Mexico,Switzerland,1,0,0,1,2,4,2025-06-07,Mexico 2-4 Switzerland,Friendly
Mexico,Turkey,1,1,0,0,1,0,2025-06-10,Mexico 1-0 Turkey,Friendly
Mexico,United States,5,2,1,2,5,7,2025-07-06,United States 1-2 Mexico,Gold Cup
Mexico,Uruguay,2,0,1,1,0,4,2025-11-15,Mexico 0-0 Uruguay,Friendly
