match_id,date,home_team,away_team,competition,sb_stage,sb_match_week,stadium,referee,home_xg,away_xg,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_passes,away_passes,home_goals_sb,away_goals_sb,possession_note
0d232687e9,2024-06-29,Argentina,Peru,Copa America 2024,Group Stage,3,Hard Rock Stadium,César Arturo Ramos Palazuelos,2.106,0.167,12,7,6,1,6,3,14,24,1,5,0,0,667,250,2,0,not in open data; use pass share as proxy
0c0f53a037,2024-06-29,Canada,Chile,Copa America 2024,Group Stage,3,Inter&Co Stadium,Wilmar Alexander Roldán Pérez,0.699,0.454,9,8,3,4,8,4,16,8,5,2,0,1,473,364,0,0,not in open data; use pass share as proxy
efb4b20ab4,2024-06-29,Germany,Denmark,UEFA Euro 2024,Round of 16,4,Signal-Iduna-Park,Michael Oliver,2.227,1.073,15,10,9,2,6,6,7,18,0,2,0,0,575,475,2,0,not in open data; use pass share as proxy
ef49e6d6b3,2024-06-29,Switzerland,Italy,UEFA Euro 2024,Round of 16,4,Olympiastadion Berlin,Szymon Marciniak,0.782,0.726,16,11,4,1,4,6,11,17,0,3,0,0,561,563,2,0,not in open data; use pass share as proxy
a5f96854b6,2024-06-30,England,Slovakia,UEFA Euro 2024,Round of 16,4,VELTINS-Arena,Halil Umut Meler,1.587,1.548,16,13,2,3,9,1,13,19,3,6,0,0,872,514,2,1,not in open data; use pass share as proxy
ee83daf710,2024-06-30,Mexico,Ecuador,Copa America 2024,Group Stage,3,State Farm Stadium,Mario Alberto Escobar Toca,0.938,0.306,20,9,4,3,5,2,17,12,5,2,0,0,454,319,0,0,not in open data; use pass share as proxy
385b1fa892,2024-06-30,Spain,Georgia,UEFA Euro 2024,Round of 16,4,RheinEnergieStadion,François Letexier,2.765,0.113,35,4,13,0,13,3,12,11,1,1,0,0,850,285,4,1,not in open data; use pass share as proxy
9553d4ff01,2024-07-01,Bolivia,Panama,Copa America 2024,Group Stage,3,Inter&Co Stadium,Edina Alves Batista,0.793,1.341,7,13,3,6,2,1,23,10,2,1,0,0,478,455,1,3,not in open data; use pass share as proxy
6848f30212,2024-07-01,France,Belgium,UEFA Euro 2024,Round of 16,4,Merkur Spiel-Arena,Glenn Nyberg,1.262,0.363,19,5,2,2,5,2,8,10,3,2,0,0,650,524,1,0,not in open data; use pass share as proxy
962e50e179,2024-07-01,Portugal,Slovenia,UEFA Euro 2024,Round of 16,4,Deutsche Bank Park,Daniele Orsato,1.721,0.716,20,10,6,2,11,4,8,21,1,5,0,0,842,349,0,0,not in open data; use pass share as proxy
